Timestamp,Jenis Kelamin,Usia,Program Studi,Semester Saat Ini,IPK,Apakah Anda pernah menggunakan chatbot AI untuk belajar?,Chatbot AI yang paling sering Anda gunakan,Berapa lama Anda telah menggunakan chatbot AI?,Seberapa sering Anda menggunakan chatbot AI untuk kegiatan belajar dalam satu minggu?,Rata-rata durasi penggunaan chatbot AI dalam satu hari,Untuk kegiatan apa chatbot AI paling sering digunakan?,Mata kuliah yang paling sering dibantu chatbot AI,Chatbot AI membantu saya memahami materi kuliah yang sulit.,Penjelasan yang diberikan chatbot AI mudah dipahami.,Chatbot AI membantu saya mempelajari topik baru dengan lebih cepat.,Chatbot AI membantu saya menyelesaikan tugas lebih cepat,Chatbot AI meningkatkan efisiensi waktu belajar saya,Chatbot AI membantu meningkatkan kualitas hasil tugas saya,Chatbot AI membuat saya lebih termotivasi untuk belajar,Saya lebih percaya diri dalam memahami materi setelah menggunakan chatbot AI,Saya sering menggunakan chatbot AI sebelum mencari sumber belajar lainnya,Saya merasa kesulitan menyelesaikan tugas tanpa bantuan chatbot AI,Saya terlalu bergantung pada chatbot AI dalam proses belajar,Secara keseluruhan saya puas menggunakan chatbot AI untuk membantu proses belajar,Apakah Anda akan terus menggunakan chatbot AI untuk kegiatan belajar di masa depan?
08/06/2026 10:55:00,Perempuan,20,Teknik Informatika,4,3.75,Ya,ChatGPT,> 1 tahun,6–10 kali,1–2 jam,Membantu coding,Pemrograman Web,5,5,5,5,5,5,4,5,3,2,2,5,5
08/06/2026 10:56:15,Laki-Laki,22,Sistem Informasi,6,3.45,Ya,Gemini,6–12 bulan,3–5 kali,30–60 menit,Mengerjakan tugas,Basis Data,4,4,4,4,4,4,3,4,2,2,2,4,5
08/06/2026 10:57:10,Perempuan,19,Manajemen,2,3.82,Ya,ChatGPT,3–6 bulan,6–10 kali,30–60 menit,Mencari referensi,Pengantar Manajemen,4,5,4,4,4,4,4,4,3,2,2,5,5
08/06/2026 10:58:22,Laki-Laki,21,Teknik Informatika,5,3.68,Ya,Claude,1–3 bulan,1–2 kali,<30 menit,Membuat ringkasan,Machine Learning,3,4,4,3,3,3,3,3,1,1,1,4,4
08/06/2026 10:59:05,Perempuan,23,Akuntansi,7,3.55,Ya,ChatGPT,> 1 tahun,> 10 kali,1–2 jam,Mengerjakan tugas,Akuntansi Keuangan,5,5,5,5,5,5,5,5,4,3,3,5,5
08/06/2026 11:00:18,Laki-Laki,20,Teknik Industri,3,3.21,Ya,Gemini,3–6 bulan,3–5 kali,30–60 menit,Memahami materi,Statistika,4,4,4,4,3,4,3,4,2,2,2,4,5
08/06/2026 11:01:30,Perempuan,22,Pendidikan Matematika,6,3.90,Ya,ChatGPT,6–12 bulan,6–10 kali,1–2 jam,Memahami materi,Metode Numerik,5,5,5,4,5,5,4,5,3,2,2,5,5
08/06/2026 11:02:41,Laki-Laki,21,Sistem Informasi,5,3.40,Ya,Copilot,6–12 bulan,3–5 kali,30–60 menit,Membantu coding,Pemrograman Mobile,4,4,4,5,4,4,3,4,2,2,2,4,5
08/06/2026 11:03:55,Perempuan,20,Administrasi Bisnis,4,3.65,Ya,ChatGPT,3–6 bulan,6–10 kali,30–60 menit,Mencari referensi,Manajemen Operasional,4,4,5,4,4,4,4,4,3,2,2,5,5
08/06/2026 11:05:12,Laki-Laki,24,Teknik Informatika,8,3.78,Ya,ChatGPT,> 1 tahun,> 10 kali,>2 jam,Membantu coding,Kecerdasan Buatan,5,5,5,5,5,5,4,5,5,4,4,5,5
08/06/2026 11:06:45,Perempuan,21,Ilmu Komunikasi,5,3.50,Ya,Gemini,1–3 bulan,1–2 kali,<30 menit,Membuat ringkasan,Metodologi Penelitian,3,3,3,3,3,3,3,3,1,1,1,3,4
